"location","location_ascii","apoe","M","D","I-PGA","I-Sas","I-Tc","I-Td","II-PGA","II-Sas","II-Tc","II-Td","III-PGA","III-Sas","III-Tc","III-Td","IV-PGA","IV-Sas","IV-Tc","IV-Td","V-PGA","V-Sas","V-Tc","V-Td","VI-PGA","VI-Sas","VI-Tc","VI-Td"
"Kaitaia","Kaitaia"," 1/25",6.2,"n/a",0.02,0.03,0.39,1.6,0.02,0.04,0.42,1.6,0.02,0.05,0.47,1.6,0.03,0.06,0.53,1.6,0.03,0.07,0.56,1.6,0.03,0.09,0.56,1.6
"Kaitaia","Kaitaia"," 1/50",6.2,"n/a",0.03,0.06,0.37,2.2,0.03,0.07,0.45,2.1,0.04,0.09,0.49,2.0,0.05,0.11,0.55,2.0,0.05,0.12,0.62,1.9,0.06,0.15,0.63,1.9
"Kaitaia","Kaitaia"," 1/100",6.2,"n/a",0.05,0.1,0.38,2.6,0.06,0.12,0.45,2.4,0.07,0.14,0.54,2.3,0.08,0.18,0.57,2.2,0.08,0.2,0.62,2.3,0.09,0.23,0.7,2.2
"Kaitaia","Kaitaia"," 1/250",6.2,"n/a",0.09,0.19,0.36,3.0,0.11,0.22,0.44,2.8,0.12,0.26,0.52,2.6,0.13,0.3,0.61,2.6,0.14,0.34,0.65,2.6,0.15,0.39,0.73,2.5
"Kaitaia","Kaitaia"," 1/500",6.3,">20",0.13,0.29,0.35,3.1,0.16,0.33,0.43,3.0,0.18,0.38,0.52,2.8,0.2,0.44,0.6,2.8,0.19,0.48,0.68,2.7,0.2,0.53,0.79,2.6
"Kaitaia","Kaitaia"," 1/1000",6.3,">20",0.19,0.42,0.34,3.5,0.22,0.48,0.42,3.2,0.25,0.55,0.5,3.1,0.26,0.61,0.62,2.9,0.25,0.65,0.71,2.8,0.27,0.7,0.85,2.7
"Kaitaia","Kaitaia"," 1/2500",6.4,">20",0.29,0.65,0.33,4.2,0.34,0.74,0.4,3.9,0.38,0.82,0.51,3.4,0.37,0.88,0.64,3.2,0.35,0.92,0.75,3.1,0.36,0.96,0.92,3.1
"Kerikeri","Kerikeri"," 1/25",6.2,"n/a",0.02,0.03,0.39,1.6,0.02,0.04,0.42,1.6,0.02,0.05,0.47,1.6,0.03,0.06,0.53,1.6,0.03,0.07,0.56,1.6,0.03,0.09,0.56,1.6
"Kerikeri","Kerikeri"," 1/50",6.2,"n/a",0.03,0.06,0.37,2.2,0.03,0.07,0.45,2.1,0.04,0.09,0.49,2.0,0.05,0.11,0.55,2.0,0.05,0.12,0.62,1.9,0.06,0.15,0.63,1.9
"Kerikeri","Kerikeri"," 1/100",6.2,"n/a",0.05,0.1,0.38,2.6,0.06,0.12,0.45,2.4,0.07,0.14,0.54,2.3,0.08,0.18,0.57,2.2,0.08,0.2,0.62,2.3,0.09,0.23,0.7,2.2
