site code,site name,latitude,longitude,vs30,poe (% in 50 years),imt,imtl (g),mean magnitude
-34.300~172.900,-34.300~172.900,-34.3,172.9,275,10,PGA,1.15E-01,5.89
-34.300~172.900,-34.300~172.900,-34.3,172.9,275,18,PGA,7.73E-02,5.83
-34.300~172.900,-34.300~172.900,-34.3,172.9,275,2,PGA,2.62E-01,6.08
-34.300~172.900,-34.300~172.900,-34.3,172.9,275,39,PGA,3.68E-02,5.74
-34.300~172.900,-34.300~172.900,-34.3,172.9,275,5,PGA,1.69E-01,5.96
-34.300~173.000,-34.300~173.000,-34.3,173,275,10,PGA,1.14E-01,5.89
-34.300~173.000,-34.300~173.000,-34.3,173,275,18,PGA,7.73E-02,5.83
-34.300~173.000,-34.300~173.000,-34.3,173,275,2,PGA,2.62E-01,6.08
-34.300~173.000,-34.300~173.000,-34.3,173,275,39,PGA,3.70E-02,5.75
-34.300~173.000,-34.300~173.000,-34.3,173,275,5,PGA,1.69E-01,5.97
-34.300~173.100,-34.300~173.100,-34.3,173.1,275,10,PGA,1.14E-01,5.89
-34.300~173.100,-34.300~173.100,-34.3,173.1,275,18,PGA,7.67E-02,5.83
-34.300~173.100,-34.300~173.100,-34.3,173.1,275,2,PGA,2.62E-01,6.08
-34.300~173.100,-34.300~173.100,-34.3,173.1,275,39,PGA,3.67E-02,5.76
-34.300~173.100,-34.300~173.100,-34.3,173.1,275,5,PGA,1.69E-01,5.97
-34.400~172.600,-34.400~172.600,-34.4,172.6,275,10,PGA,1.12E-01,5.87
-34.400~172.600,-34.400~172.600,-34.4,172.6,275,18,PGA,7.47E-02,5.81
-34.400~172.600,-34.400~172.600,-34.4,172.6,275,2,PGA,2.59E-01,6.06
-34.400~172.600,-34.400~172.600,-34.4,172.6,275,39,PGA,3.45E-02,5.73
-34.400~172.600,-34.400~172.600,-34.4,172.6,275,5,PGA,1.66E-01,5.95
-34.400~172.700,-34.400~172.700,-34.4,172.7,275,10,PGA,1.15E-01,5.88
-34.400~172.700,-34.400~172.700,-34.4,172.7,275,18,PGA,7.74E-02,5.82
-34.400~172.700,-34.400~172.700,-34.4,172.7,275,2,PGA,2.62E-01,6.08
-34.400~172.700,-34.400~172.700,-34.4,172.7,275,39,PGA,3.67E-02,5.74
-34.400~172.700,-34.400~172.700,-34.4,172.7,275,5,PGA,1.69E-01,5.96
-34.400~172.800,-34.400~172.800,-34.4,172.8,275,10,PGA,1.16E-01,5.9
-34.400~172.800,-34.400~172.800,-34.4,172.8,275,18,PGA,7.89E-02,5.84
-34.400~172.800,-34.400~172.800,-34.4,172.8,275,2,PGA,2.63E-01,6.09
-34.400~172.800,-34.400~172.800,-34.4,172.8,275,39,PGA,3.82E-02,5.75
-34.400~172.800,-34.400~172.800,-34.4,172.8,275,5,PGA,1.71E-01,5.97
-34.400~172.900,-34.400~172.900,-34.4,172.9,275,10,PGA,1.16E-01,5.9
-34.400~172.900,-34.400~172.900,-34.4,172.9,275,18,PGA,7.96E-02,5.84
-34.400~172.900,-34.400~172.900,-34.4,172.9,275,2,PGA,2.63E-01,6.09
-34.400~172.900,-34.400~172.900,-34.4,172.9,275,39,PGA,3.90E-02,5.76
-34.400~172.900,-34.400~172.900,-34.4,172.9,275,5,PGA,1.71E-01,5.98
-34.400~173.000,-34.400~173.000,-34.4,173,275,10,PGA,1.16E-01,5.91
-34.400~173.000,-34.400~173.000,-34.4,173,275,18,PGA,7.98E-02,5.85
-34.400~173.000,-34.400~173.000,-34.4,173,275,2,PGA,2.63E-01,6.1
-34.400~173.000,-34.400~173.000,-34.4,173,275,39,PGA,3.94E-02,5.76
-34.400~173.000,-34.400~173.000,-34.4,173,275,5,PGA,1.71E-01,5.98
-34.400~173.100,-34.400~173.100,-34.4,173.1,275,10,PGA,1.16E-01,5.91
-34.400~173.100,-34.400~173.100,-34.4,173.1,275,18,PGA,7.96E-02,5.85
-34.400~173.100,-34.400~173.100,-34.4,173.1,275,2,PGA,2.63E-01,6.1
-34.400~173.100,-34.400~173.100,-34.4,173.1,275,39,PGA,3.93E-02,5.77
-34.400~173.100,-34.400~173.100,-34.4,173.1,275,5,PGA,1.71E-01,5.98
-34.500~172.600,-34.500~172.600,-34.5,172.6,275,10,PGA,1.13E-01,5.88
-34.500~172.600,-34.500~172.600,-34.5,172.6,275,18,PGA,7.58E-02,5.82
-34.500~172.600,-34.500~172.600,-34.5,172.6,275,2,PGA,2.60E-01,6.07
-34.500~172.600,-34.500~172.600,-34.5,172.6,275,39,PGA,3.58E-02,5.74
-34.500~172.600,-34.500~172.600,-34.5,172.6,275,5,PGA,1.67E-01,5.96
-34.500~172.700,-34.500~172.700,-34.5,172.7,275,10,PGA,1.15E-01,5.9
-34.500~172.700,-34.500~172.700,-34.5,172.7,275,18,PGA,7.83E-02,5.84
-34.500~172.700,-34.500~172.700,-34.5,172.7,275,2,PGA,2.62E-01,6.09
-34.500~172.700,-34.500~172.700,-34.5,172.7,275,39,PGA,3.79E-02,5.75
-34.500~172.700,-34.500~172.700,-34.5,172.7,275,5,PGA,1.70E-01,5.97
-34.500~172.800,-34.500~172.800,-34.5,172.8,275,10,PGA,1.17E-01,5.91
-34.500~172.800,-34.500~172.800,-34.5,172.8,275,18,PGA,7.99E-02,5.85
-34.500~172.800,-34.500~172.800,-34.5,172.8,275,2,PGA,2.63E-01,6.1
-34.500~172.800,-34.500~172.800,-34.5,172.8,275,39,PGA,3.95E-02,5.76
-34.500~172.800,-34.500~172.800,-34.5,172.8,275,5,PGA,1.71E-01,5.98
-34.500~172.900,-34.500~172.900,-34.5,172.9,275,10,PGA,1.17E-01,5.91
-34.500~172.900,-34.500~172.900,-34.5,172.9,275,18,PGA,8.08E-02,5.86
-34.500~172.900,-34.500~172.900,-34.5,172.9,275,2,PGA,2.64E-01,6.1
-34.500~172.900,-34.500~172.900,-34.5,172.9,275,39,PGA,4.04E-02,5.77
-34.500~172.900,-34.500~172.900,-34.5,172.9,275,5,PGA,1.72E-01,5.99
-34.500~173.000,-34.500~173.000,-34.5,173,275,10,PGA,1.17E-01,5.92
-34.500~173.000,-34.500~173.000,-34.5,173,275,18,PGA,8.09E-02,5.86
-34.500~173.000,-34.500~173.000,-34.5,173,275,2,PGA,2.64E-01,6.1
-34.500~173.000,-34.500~173.000,-34.5,173,275,39,PGA,4.07E-02,5.78
-34.500~173.000,-34.500~173.000,-34.5,173,275,5,PGA,1.72E-01,5.99
-34.500~173.100,-34.500~173.100,-34.5,173.1,275,10,PGA,1.17E-01,5.92
-34.500~173.100,-34.500~173.100,-34.5,173.1,275,18,PGA,8.10E-02,5.86
-34.500~173.100,-34.500~173.100,-34.5,173.1,275,2,PGA,2.64E-01,6.1
-34.500~173.100,-34.500~173.100,-34.5,173.1,275,39,PGA,4.09E-02,5.78
-34.500~173.100,-34.500~173.100,-34.5,173.1,275,5,PGA,1.72E-01,5.99
-34.600~172.600,-34.600~172.600,-34.6,172.6,275,10,PGA,1.13E-01,5.89
-34.600~172.600,-34.600~172.600,-34.6,172.6,275,18,PGA,7.61E-02,5.83
-34.600~172.600,-34.600~172.600,-34.6,172.6,275,2,PGA,2.60E-01,6.08
-34.600~172.600,-34.600~172.600,-34.6,172.6,275,39,PGA,3.63E-02,5.75
-34.600~172.600,-34.600~172.600,-34.6,172.6,275,5,PGA,1.67E-01,5.96
-34.600~172.700,-34.600~172.700,-34.6,172.7,275,10,PGA,1.15E-01,5.9
-34.600~172.700,-34.600~172.700,-34.6,172.7,275,18,PGA,7.86E-02,5.85
-34.600~172.700,-34.600~172.700,-34.6,172.7,275,2,PGA,2.62E-01,6.09
-34.600~172.700,-34.600~172.700,-34.6,172.7,275,39,PGA,3.86E-02,5.76
-34.600~172.700,-34.600~172.700,-34.6,172.7,275,5,PGA,1.70E-01,5.98
-34.600~172.800,-34.600~172.800,-34.6,172.8,275,10,PGA,1.17E-01,5.91
-34.600~172.800,-34.600~172.800,-34.6,172.8,275,18,PGA,8.02E-02,5.86
-34.600~172.800,-34.600~172.800,-34.6,172.8,275,2,PGA,2.64E-01,6.1
-34.600~172.800,-34.600~172.800,-34.6,172.8,275,39,PGA,4.01E-02,5.77
-34.600~172.800,-34.600~172.800,-34.6,172.8,275,5,PGA,1.71E-01,5.99
-34.600~172.900,-34.600~172.900,-34.6,172.9,275,10,PGA,1.17E-01,5.92
-34.600~172.900,-34.600~172.900,-34.6,172.9,275,18,PGA,8.10E-02,5.87
-34.600~172.900,-34.600~172.900,-34.6,172.9,275,2,PGA,2.64E-01,6.11
-34.600~172.900,-34.600~172.900,-34.6,172.9,275,39,PGA,4.10E-02,5.78
-34.600~172.900,-34.600~172.900,-34.6,172.9,275,5,PGA,1.72E-01,5.99
-34.600~173.000,-34.600~173.000,-34.6,173,275,10,PGA,1.18E-01,5.93
-34.600~173.000,-34.600~173.000,-34.6,173,275,18,PGA,8.13E-02,5.88
-34.600~173.000,-34.600~173.000,-34.6,173,275,2,PGA,2.64E-01,6.11
-34.600~173.000,-34.600~173.000,-34.6,173,275,39,PGA,4.15E-02,5.79
-34.600~173.000,-34.600~173.000,-34.6,173,275,5,PGA,1.72E-01,6
-34.600~173.100,-34.600~173.100,-34.6,173.1,275,10,PGA,1.18E-01,5.93
-34.600~173.100,-34.600~173.100,-34.6,173.1,275,18,PGA,8.16E-02,5.88
-34.600~173.100,-34.600~173.100,-34.6,173.1,275,2,PGA,2.64E-01,6.11
-34.600~173.100,-34.600~173.100,-34.6,173.1,275,39,PGA,4.18E-02,5.8
-34.600~173.100,-34.600~173.100,-34.6,173.1,275,5,PGA,1.73E-01,6
-34.700~172.700,-34.700~172.700,-34.7,172.7,275,10,PGA,1.15E-01,5.9
