site_name,APoE: 1/25,APoE: 1/50,APoE: 1/100,APoE: 1/250,APoE: 1/500,APoE: 1/1000,APoE: 1/2500
Kaitaia,5.7,5.8,5.8,5.9,6.0,6.0,6.1
Kerikeri,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Haruru,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Paihia,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Opua,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Kawakawa,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Moerewa,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Kaikohe,5.7,5.8,5.9,5.9,6.0,6.0,6.1
Hikurangi,5.8,5.8,5.9,6.0,6.0,6.0,6.1
Ngunguru,5.8,5.8,5.9,6.0,6.0,6.0,6.1
Whangarei,5.8,5.9,5.9,6.0,6.0,6.0,6.1
One Tree Point,5.8,5.9,5.9,6.0,6.0,6.1,6.1
Ruakaka,5.8,5.9,5.9,6.0,6.0,6.1,6.1
Dargaville,5.8,5.8,5.9,5.9,6.0,6.0,6.1
Waipu,5.8,5.9,6.0,6.0,6.0,6.1,6.2
Mangawhai Heads,5.9,5.9,6.0,6.0,6.0,6.1,6.2
Wellsford,5.9,6.0,6.0,6.0,6.0,6.1,6.2
Warkworth,6.0,6.0,6.1,6.1,6.1,6.1,6.2
Snells Beach,6.0,6.1,6.1,6.1,6.1,6.1,6.2
Hibiscus Coast,6.1,6.1,6.1,6.1,6.2,6.2,6.2
Parakai,6.0,6.0,6.1,6.1,6.1,6.1,6.2
Helensville,6.0,6.1,6.1,6.1,6.1,6.1,6.2
Coromandel,6.4,6.4,6.5,6.5,6.5,6.5,6.5
Riverhead,6.1,6.1,6.1,6.1,6.1,6.2,6.2
Kumeu-Huapai,6.1,6.1,6.1,6.1,6.1,6.2,6.2
Waimauku,6.0,6.1,6.1,6.1,6.1,6.2,6.2
Waiheke West,6.2,6.3,6.3,6.3,6.3,6.3,6.4
Whitianga,6.5,6.5,6.6,6.6,6.6,6.6,6.7
Muriwai,6.1,6.1,6.1,6.1,6.1,6.2,6.2
Auckland,6.2,6.2,6.2,6.2,6.2,6.3,6.3
Maraetai,6.3,6.3,6.3,6.3,6.3,6.4,6.5
Beachlands-Pine Harbour,6.3,6.3,6.3,6.3,6.3,6.4,6.5
Manukau City,6.3,6.3,6.3,6.3,6.3,6.4,6.5
Tairua,6.5,6.6,6.7,6.8,6.8,6.8,6.9
Pauanui,6.5,6.7,6.7,6.8,6.8,6.8,6.9
Clarks Beach,6.3,6.3,6.3,6.3,6.3,6.3,6.4
Thames,6.5,6.6,6.6,6.7,6.7,6.8,6.9
Patumahoe,6.3,6.4,6.4,6.4,6.4,6.4,6.5
Pukekohe,6.4,6.4,6.4,6.4,6.4,6.5,6.6
Whangamata,6.6,6.7,6.8,6.9,6.9,7.0,7.0
Pokeno,6.4,6.4,6.5,6.5,6.5,6.5,6.7
Waiuku,6.3,6.4,6.4,6.3,6.3,6.4,6.5
Tuakau,6.4,6.4,6.4,6.4,6.4,6.5,6.6
Ngatea,6.5,6.6,6.7,6.7,6.7,6.8,6.9
Paeroa,6.6,6.7,6.8,6.8,6.9,7.0,7.0
Waihi,6.6,6.7,6.8,6.9,7.0,7.0,7.1
Te Kauwhata,6.5,6.6,6.6,6.6,6.6,6.6,6.7
Waihi Beach-Bowentown,6.6,6.8,6.9,7.0,7.0,7.1,7.2
Te Aroha,6.6,6.8,6.8,6.9,7.0,7.0,7.1
Huntly,6.5,6.6,6.6,6.6,6.6,6.7,6.7
Katikati,6.6,6.8,6.9,7.0,7.1,7.2,7.3
Omokoroa,6.6,6.8,6.9,7.0,7.1,7.2,7.3
Mount Maunganui,6.6,6.7,6.8,7.0,7.1,7.2,7.3
Morrinsville,6.6,6.8,6.8,6.9,6.9,7.0,7.1
Ngaruawahia,6.6,6.6,6.7,6.7,6.7,6.7,6.8
Tauranga,6.6,6.7,6.9,7.0,7.1,7.2,7.3
Te Puke,6.5,6.6,6.8,7.0,7.1,7.2,7.3
Hamilton,6.6,6.7,6.8,6.8,6.8,6.9,6.9
Raglan,6.6,6.6,6.6,6.6,6.6,6.6,6.6
Matamata,6.7,6.8,6.9,7.0,7.1,7.2,7.3
Cambridge,6.7,6.8,6.9,7.0,7.0,7.1,7.1
Ruatoria,6.6,6.8,7.1,7.4,7.6,7.7,7.9
Whakatane,6.4,6.6,6.8,7.0,7.1,7.2,7.4
Edgecumbe,6.3,6.4,6.6,6.8,7.0,7.2,7.3
Ohope,6.5,6.6,6.8,7.0,7.2,7.3,7.5
Pirongia,6.7,6.8,6.8,6.9,6.9,6.9,7.0
Te Awamutu,6.7,6.8,6.9,7.0,7.0,7.0,7.1
Opotiki,6.5,6.6,6.8,7.1,7.2,7.4,7.5
Kihikihi,6.7,6.8,6.9,7.0,7.0,7.0,7.1
Putaruru,6.7,6.9,7.0,7.1,7.2,7.3,7.4
Ngongotaha,6.6,6.8,6.9,7.1,7.2,7.3,7.4
Kawerau,6.4,6.5,6.7,7.0,7.1,7.3,7.4
Rotorua,6.6,6.7,6.9,7.1,7.2,7.2,7.4
Otorohanga,6.7,6.8,6.9,7.0,7.0,7.1,7.1
Tokoroa,6.7,6.9,7.0,7.1,7.2,7.3,7.4
Te Kuiti,6.7,6.9,7.0,7.0,7.1,7.1,7.2
Mangakino,6.7,6.9,7.0,7.1,7.2,7.3,7.4
Murupara,6.7,6.8,7.0,7.2,7.4,7.5,7.6
Gisborne,6.6,6.8,7.0,7.3,7.5,7.7,7.9
Taupo,6.6,6.8,6.9,7.1,7.2,7.3,7.4
Taumarunui,6.7,6.9,7.0,7.2,7.2,7.3,7.5
Turangi,6.7,6.8,7.0,7.1,7.2,7.3,7.4
Waitara,6.7,6.8,6.8,6.9,6.9,7.0,7.0
Wairoa,6.7,6.9,7.1,7.3,7.5,7.7,7.8
New Plymouth,6.6,6.7,6.8,6.8,6.9,6.9,7.0
Oakura (New Plymouth District),6.6,6.7,6.8,6.8,6.8,6.9,7.0
Inglewood,6.7,6.8,6.9,7.0,7.0,7.0,7.1
Stratford,6.8,6.9,7.0,7.1,7.1,7.2,7.3
Ohakune,6.8,7.0,7.1,7.3,7.4,7.4,7.5
Raetihi,6.8,6.9,7.1,7.2,7.3,7.4,7.5
Eltham,6.8,6.9,7.0,7.1,7.2,7.3,7.4
Opunake,6.7,6.8,6.9,6.9,7.0,7.0,7.1
Waiouru,6.8,7.0,7.1,7.3,7.4,7.5,7.6
Napier,6.7,7.0,7.2,7.4,7.6,7.7,7.9
Clive,6.7,7.0,7.2,7.4,7.6,7.8,7.9
Hawera,6.8,6.9,7.1,7.2,7.3,7.3,7.4
Hastings,6.7,7.0,7.2,7.4,7.6,7.8,7.9
Taihape,6.8,7.0,7.2,7.4,7.5,7.6,7.7
Havelock North,6.7,6.9,7.2,7.5,7.6,7.8,7.9
Patea,6.8,6.9,7.1,7.2,7.3,7.4,7.4
Whanganui,6.8,6.9,7.1,7.2,7.3,7.4,7.5
Waipawa,6.8,7.0,7.3,7.5,7.7,7.8,7.9
Waipukurau,6.8,7.0,7.3,7.6,7.7,7.8,7.9
Marton,6.8,7.0,7.2,7.4,7.5,7.5,7.6
Bulls,6.8,7.0,7.2,7.4,7.5,7.6,7.7
Dannevirke,6.8,7.1,7.4,7.6,7.8,7.8,7.9
Feilding,6.8,7.1,7.3,7.5,7.6,7.7,7.8
Ashhurst,6.8,7.1,7.4,7.6,7.7,7.8,7.9
Woodville,6.8,7.1,7.4,7.6,7.7,7.8,7.9
Palmerston North,6.8,7.1,7.4,7.6,7.7,7.8,7.8
Pahiatua,6.8,7.1,7.4,7.6,7.7,7.8,7.9
Foxton Beach,6.8,7.1,7.3,7.5,7.6,7.7,7.8
Foxton,6.8,7.1,7.3,7.6,7.7,7.7,7.8
Shannon,6.9,7.1,7.4,7.6,7.7,7.8,7.9
Levin,6.9,7.2,7.4,7.6,7.7,7.8,7.9
Otaki Beach,6.9,7.2,7.4,7.6,7.7,7.8,7.9
Otaki,6.9,7.2,7.4,7.6,7.7,7.8,7.9
Waikanae,6.9,7.2,7.4,7.7,7.8,7.8,7.9
Takaka,6.9,7.0,7.2,7.3,7.4,7.4,7.5
Paraparaumu,6.9,7.2,7.4,7.7,7.8,7.8,7.9
Masterton,6.9,7.2,7.5,7.8,7.9,7.9,8.0
Paekakariki,6.9,7.2,7.4,7.7,7.8,7.8,7.9
Carterton,6.9,7.2,7.5,7.8,7.9,7.9,8.0
Greytown,6.9,7.2,7.5,7.8,7.9,7.9,8.0
Porirua,6.9,7.2,7.4,7.7,7.8,7.8,7.9
Featherston,6.9,7.2,7.5,7.8,7.9,7.9,8.0
Motueka,6.9,7.1,7.2,7.4,7.4,7.5,7.6
Upper Hutt,6.9,7.2,7.5,7.7,7.8,7.9,7.9
Lower Hutt,6.9,7.2,7.5,7.7,7.8,7.9,7.9
Martinborough,6.9,7.3,7.6,7.8,7.9,8.0,8.1
Mapua,6.9,7.0,7.2,7.4,7.4,7.5,7.6
Wainuiomata,6.9,7.2,7.5,7.7,7.8,7.9,8.0
Nelson,6.9,7.1,7.2,7.4,7.5,7.6,7.6
Picton,6.8,7.0,7.3,7.5,7.6,7.7,7.8
Wellington CBD,6.9,7.2,7.5,7.7,7.8,7.8,7.9
Wellington,6.9,7.2,7.5,7.7,7.8,7.8,7.9
Eastbourne,6.9,7.2,7.5,7.7,7.8,7.9,8.0
Richmond,6.8,7.0,7.2,7.4,7.5,7.6,7.6
Hope,6.8,7.0,7.2,7.4,7.5,7.6,7.6
Brightwater,6.8,7.0,7.2,7.4,7.5,7.6,7.6
Wakefield,6.8,7.0,7.2,7.4,7.5,7.5,7.6
Renwick,6.8,7.0,7.2,7.5,7.6,7.7,7.8
Blenheim,6.8,7.0,7.3,7.5,7.7,7.8,7.8
Seddon,6.7,6.9,7.2,7.5,7.6,7.7,7.8
Westport,6.6,6.7,6.8,7.0,7.0,7.1,7.2
St Arnaud,6.7,6.9,7.1,7.3,7.5,7.6,7.8
Murchison,6.6,6.8,6.9,7.1,7.2,7.3,7.4
Ward,6.6,6.9,7.2,7.5,7.7,7.8,7.9
Reefton,6.6,6.8,6.9,7.1,7.2,7.3,7.4
Springs Junction,6.6,6.8,7.1,7.4,7.6,7.8,7.9
Runanga,6.7,6.9,7.1,7.4,7.5,7.5,7.6
Kaikoura,6.6,6.9,7.2,7.5,7.6,7.8,7.9
Greymouth,6.6,6.9,7.1,7.4,7.5,7.6,7.6
Hanmer Springs,6.4,6.6,6.9,7.2,7.4,7.6,7.8
Hokitika,6.5,6.8,7.1,7.4,7.6,7.7,7.8
Cheviot,6.5,6.7,6.9,7.2,7.3,7.5,7.6
Otira,6.4,6.7,7.1,7.5,7.7,7.8,7.9
Arthurs Pass,6.4,6.6,6.9,7.2,7.3,7.4,7.6
Harihari,6.4,6.7,7.0,7.6,7.9,8.1,8.2
Amberley,6.6,6.7,6.9,7.0,7.1,7.2,7.3
Oxford,6.5,6.6,6.8,6.9,7.0,7.1,7.2
Rangiora,6.5,6.6,6.8,6.9,7.0,7.1,7.2
Pegasus,6.5,6.6,6.7,6.9,7.0,7.0,7.1
Woodend,6.5,6.6,6.7,6.8,6.9,7.0,7.1
Franz Josef,6.5,6.7,7.1,7.8,8.1,8.2,8.3
Kaiapoi,6.4,6.5,6.6,6.7,6.8,6.8,6.9
