site_name,APoE: 1/25,APoE: 1/50,APoE: 1/100,APoE: 1/250,APoE: 1/500,APoE: 1/1000,APoE: 1/2500
-46.100~166.400,7.1,7.4,7.7,7.9,8.0,8.0,8.1
-46.000~166.400,7.1,7.4,7.7,7.9,8.0,8.0,8.1
-45.900~166.400,7.1,7.4,7.7,7.9,8.0,8.0,8.1
-45.800~166.400,7.0,7.4,7.6,7.9,8.0,8.0,8.1
-45.700~166.400,7.0,7.4,7.6,7.9,8.0,8.0,8.1
-45.600~166.400,7.0,7.3,7.6,7.9,8.0,8.0,8.1
-46.100~166.500,7.1,7.4,7.7,7.9,7.9,8.0,8.1
-46.000~166.500,7.1,7.4,7.7,7.9,8.0,8.0,8.1
-45.900~166.500,7.1,7.4,7.6,7.8,8.0,8.0,8.1
-45.800~166.500,7.0,7.4,7.6,7.8,7.9,8.0,8.1
-45.700~166.500,7.0,7.3,7.6,7.8,7.9,8.0,8.1
-45.600~166.500,7.0,7.3,7.6,7.9,8.0,8.0,8.1
-45.500~166.500,6.9,7.3,7.6,7.9,8.0,8.0,8.1
-46.300~166.600,7.1,7.4,7.6,7.8,7.9,8.0,8.0
-46.200~166.600,7.1,7.4,7.6,7.8,7.9,8.0,8.0
-46.100~166.600,7.1,7.4,7.6,7.8,7.9,8.0,8.0
-46.000~166.600,7.1,7.4,7.6,7.8,7.9,8.0,8.1
-45.900~166.600,7.0,7.4,7.6,7.8,7.9,8.0,8.1
-45.800~166.600,7.0,7.4,7.6,7.8,7.9,8.0,8.1
-45.700~166.600,7.0,7.3,7.6,7.8,7.9,8.0,8.1
-45.600~166.600,7.0,7.3,7.6,7.8,7.9,8.0,8.1
-45.500~166.600,6.9,7.3,7.6,7.8,7.9,8.0,8.1
-45.400~166.600,6.9,7.3,7.6,7.8,7.9,8.0,8.1
-46.300~166.700,7.1,7.4,7.6,7.8,7.9,7.9,8.0
-46.200~166.700,7.1,7.4,7.6,7.8,7.9,7.9,8.0
-46.100~166.700,7.1,7.4,7.6,7.8,7.9,8.0,8.0
-46.000~166.700,7.1,7.4,7.6,7.8,7.9,8.0,8.0
-45.900~166.700,7.0,7.3,7.6,7.8,7.9,8.0,8.0
-45.800~166.700,7.0,7.3,7.6,7.8,7.9,8.0,8.0
-45.700~166.700,7.0,7.3,7.6,7.8,7.9,8.0,8.0
-45.600~166.700,7.0,7.3,7.6,7.8,7.9,8.0,8.0
